QGS17:			Building systematic reviews using automatic text classification techniques	
				Automatic text classification to support systematic reviews in medicine	
				A method to support search string building in systematic literature reviews through visual text mining	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	

QGS18:			Classifying biomedical abstracts using committees of classifiers and collective ranking techniques	
				Classifying biomedical abstracts using committees of classifiers and collective ranking techniques	
				Using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	

QGS19:			Cross-topic learning for work prioritization in systematic review creation and update	
				Approaches to Cross-Domain Sentiment Analysis: A Systematic Literature Review	
				Topic detection using paragraph vectors to support active learning in systematic reviews	
				A visual analysis approach to update systematic reviews	

QGS20:			DASyR(IR) – document analysis system for systematic reviews (in information retrieval)	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	
				Supporting systematic reviews using LDA-based document representations	
				Evaluation of a rule-based method for epidemiological document classification towards the automation of systematic reviews	

QGS21:			Deploying an interactive machine learning system in an evidence-based practice center: abstrackr	
				Deploying an interactive machine learning system in an Evidence-based Practice Center: Abstrackr	
				Machine learning in lung sound analysis: A systematic review	
				Evidence-based practice recommendations for working with individuals with dementia: Computer-assisted cognitive interventions (CACIs)	

QGS22:			Exploiting the systematic review protocol for classification of medical abstracts	
				Exploiting the systematic review protocol for classification of medical abstracts	
				Using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification	
				Impacts of structuring the electronic health record: A systematic review protocol and results of previous reviews	

QGS23:			Facilitating biomedical systematic reviews using ranked text retrieval and classification	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	
				Automatic text classification to support systematic reviews in medicine	
				Using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification	

QGS24:			Feature engineering and a proposed decision-support system for systematic reviewers of medical evidence	
				Tools to support systematic literature reviews in software engineering: A mapping study	
				Medical data mining in sentiment analysis based on optimized swarm search feature selection	
				Decision support architecture for primary studies evaluation	

QGS25:			Finding better active learners for faster literature reviews	
				Topic detection using paragraph vectors to support active learning in systematic reviews	
				Finding academic concerns of the Three Gorges Project based on a topic modeling approach	
				Citation analysis as a literature search method for systematic reviews	

QGS26:			Improving the performance of text categorization models used for the selection of high quality articles	
				Improving the performance of text categorization models used for the selection of high quality articles	
				An SVM-based high-quality article classifier for systematic reviews	
				Using visual text mining to support the study selection activity in systematic literature reviews	

QGS27:			Linked data approach for selection process automation in systematic reviews	
				Linked data approach for selection process automation in systematic reviews	
				A visual analysis approach to validate the selection review of primary studies in systematic reviews	
				Applying data analytics approach in systematic literature review: Master data management case study	

QGS28:			Machine learning techniques for the automation of literature reviews and systematic reviews in EFSA	
				Machine learning to assist risk-of-bias assessments in systematic reviews	
				Linked data approach for selection process automation in systematic reviews	
				Machine learning in lung sound analysis: A systematic review	

QGS29:			Machine learning to assist risk-of-bias assessments in systematic reviews	
				Machine learning to assist risk-of-bias assessments in systematic reviews	
				Machine learning in lung sound analysis: A systematic review	
				A machine learning aided systematic review and meta-analysis of the relative risk of atrial fibrillation in patients with diabetes mellitus	

QGS30:			Modeling annotation time to reduce workload in comparative effectiveness reviews	
				Mental journey through time: A systematic review	
				Building the informatics infrastructure for comparative effectiveness research (CER): A review of the literature	
				Privacy technology to support data sharing for comparative effectiveness research: A systematic review	

QGS31:			Optimizing feature representation for automated systematic review work prioritization	
				A systematic review of multi-label feature selection and a new method based on label construction	
				Studying the potential impact of automated document classification on scheduling a systematic review update	
				Medical data mining in sentiment analysis based on optimized swarm search feature selection	

QGS32:			Pinpointing needles in giant haystacks: use of text mining to reduce impractical screening workload in extremely large scoping reviews	
				Pinpointing needles in giant haystacks: Use of text mining to reduce impractical screening workload in extremely large scoping reviews	
				A critical analysis of studies that address the use of text mining for citation screening in systematic reviews	
				Reducing systematic review workload through certainty-based screening	

QGS33:			Reducing systematic review workload through certainty-based screening	
				Reducing systematic review workload through certainty-based screening	
				Can abstract screening workload be reduced using text mining? User experiences of the tool Rayyan	
				Using ontology-based semantic similarity to facilitate the article screening process for systematic reviews	

QGS34:			Reducing workload in systematic review preparation using automated citation classification	
				Reducing systematic review workload through certainty-based screening	
				Studying the potential impact of automated document classification on scheduling a systematic review update	
				Citation analysis as a literature search method for systematic reviews	

QGS35:			Screening nonrandomized studies for medical systematic reviews: a comparative study of classifiers	
				Screening nonrandomized studies for medical systematic reviews: A comparative study of classifiers	
				Reproducibility of studies on text mining for citation screening in systematic reviews: Evaluation and checklist	
				A critical analysis of studies that address the use of text mining for citation screening in systematic reviews	

QGS36:			Semi-automated screening of biomedical citations for systematic reviews	
				A semi-supervised approach using label propagation to support citation screening	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	
				Screening nonrandomized studies for medical systematic reviews: A comparative study of classifiers	

QGS37:			Studying the potential impact of automated document classification on scheduling a systematic review update	
				Studying the potential impact of automated document classification on scheduling a systematic review update	
				A visual analysis approach to update systematic reviews	
				Evaluation of a rule-based method for epidemiological document classification towards the automation of systematic reviews	

QGS38:			Supporting study selection of systematic literature reviews in software engineering with text mining	
				Tools to support systematic literature reviews in software engineering: A mapping study	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				The use of visual text mining to support the study selection activity in systematic literature reviews: A replication study	

QGS39:			Supporting systematic reviews using text mining	
				Supporting systematic reviews using LDA-based document representations	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	

QGS40:			Text categorization models for high-quality article retrieval in internal medicine	
				Improving the performance of text categorization models used for the selection of high quality articles	
				An SVM-based high-quality article classifier for systematic reviews	
				Automatic text classification to support systematic reviews in medicine	

QGS41:			The use of visual text mining to support the study selection activity in systematic literature reviews: a replication study	
				The use of visual text mining to support the study selection activity in systematic literature reviews: A replication study	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				A method to support search string building in systematic literature reviews through visual text mining	

QGS42:			Toward modernizing the systematic review pipeline in genetics: efficient updating via data mining	
				Toward modernizing the systematic review pipeline in genetics: Efficient updating via data mining	
				Automating data extraction in systematic reviews: A systematic review	
				Applying data analytics approach in systematic literature review: Master data management case study	

QGS43:			Towards automating the initial screening phase of a systematic review	
				Automating data extraction in systematic reviews: A systematic review	
				Using Suffix Tree clustering method to support the planning phase of systematic literature review	
				Reducing systematic review workload through certainty-based screening	

QGS44:			Using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification	
				Using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification	
				Classifying biomedical abstracts using committees of classifiers and collective ranking techniques	
				Facilitating biomedical systematic reviews using ranked text retrieval and classification	

QGS45:			Using visual text mining to support the study selection activity in systematic literature reviews	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				The use of visual text mining to support the study selection activity in systematic literature reviews: A replication study	
				A method to support search string building in systematic literature reviews through visual text mining	

QGS46:			Clustering of medical publications for evidence based medicine summarisation	
				Testing a citation and text-based framework for retrieving publications for literature reviews	
				Automated confidence ranked classification of randomized controlled trial articles: An aid to evidence-based medicine	
				Automatic text classification to support systematic reviews in medicine	

QGS47:			Combining relevancy and methodological quality into a single ranking for evidence-based medicine	
				Automated confidence ranked classification of randomized controlled trial articles: An aid to evidence-based medicine	
				An SVM-based high-quality article classifier for systematic reviews	
				Automatic text classification to support systematic reviews in medicine	

QGS48:			GAPscreener: an automatic tool for screening human genetic association literature in PubMed using the support vector machine technique	
				Automatic text classification to support systematic reviews in medicine	
				Can abstract screening workload be reduced using text mining? User experiences of the tool Rayyan	
				Extending PubMed searches to ClinicalTrials.gov through a machine learning approach for systematic reviews	

QGS49:			Parameterized contrast in second order soft co-occurrences: a novel text representation technique in text mining and knowledge extraction	
				Extractive text summarization system to aid data extraction from full text in systematic review development	
				PDF text classification to leverage information extraction from publication reports	
				Automating data extraction in systematic reviews: A systematic review	

QGS50:			Text classification on imbalanced data: application to systematic reviews automation	
				Linked data approach for selection process automation in systematic reviews	
				Evaluation of a rule-based method for epidemiological document classification towards the automation of systematic reviews	
				Automatic text classification to support systematic reviews in medicine	

QGS51:			Using information visualization and text mining to facilitate the conduction of systematic literature reviews	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				Using ontology-based semantic similarity to facilitate the article screening process for systematic reviews	
				Clinical information extraction applications: A literature review	

QGS52:			Using the scas strategy to perform the initial selection of studies in systematic reviews: an experimental study	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				The use of visual text mining to support the study selection activity in systematic literature reviews: A replication study	
				A visual analysis approach to validate the selection review of primary studies in systematic reviews	

