id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
13	torres (2013)	"<table><tr><td>Authors:</td><td>torres j.a.s.; cruzes d.s.; salvador l.n.</td></tr><tr><td>Title:</td><td>automatically locating results to support systematic reviews in software engineering</td></tr><tr><td>Source:</td><td>cibse 2013: 16th ibero-american conference on software engineering - memorias del 10th workshop latinoamericano ingenieria de software experimental, eselaw 2013, , 6-19</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"		0.7922	-0.4926	7	0	2	0.2609	2013	2	0.2609
14	dalal (2013)	"<table><tr><td>Authors:</td><td>dalal s.r.; shekelle p.g.; hempel s.; newberry s.j.; motala a.; shetty k.d.</td></tr><tr><td>Title:</td><td>a pilot study using machine learning and domain knowledge to facilitate comparative effectiveness review updating</td></tr><tr><td>Source:</td><td>medical decision making, 33(3), 343-355</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1177/0272989x12457243	-0.5721	-0.5049	4	6	10	1.3043	2013	10	1.3043
15	jonnalagadda (2013)	"<table><tr><td>Authors:</td><td>jonnalagadda s.; petitti d.</td></tr><tr><td>Title:</td><td>a new iterative method to reduce workload in systematic review process</td></tr><tr><td>Source:</td><td>international journal of computational biology and drug design, 6(1-2), 5-17</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1504/ijcbdd.2013.052198	-0.3734	-0.3652	1	8	18	2.3478	2013	18	2.3478
16	felizardo (2013)	"<table><tr><td>Authors:</td><td>felizardo k.r.; souza s.r.s.; maldonado j.c.</td></tr><tr><td>Title:</td><td>the use of visual text mining to support the study selection activity in systematic literature reviews: a replication study</td></tr><tr><td>Source:</td><td>proceedings - 2013 3rd international workshop on replication in empirical software engineering research, reser 2013, , 91-100</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1109/reser.2013.9	0.7947	0.284	2	1	8	1.0435	2013	8	1.0435
17	fabbri (2013)	"<table><tr><td>Authors:</td><td>fabbri s.; hernandes e.; di thommazo a.; belgamo a.; zamboni a.; silva c.</td></tr><tr><td>Title:</td><td>using information visualization and text mining to facilitate the conduction of systematic literature reviews</td></tr><tr><td>Source:</td><td>lecture notes in business information processing, 141, 243-256</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1007/978-3-642-40654-6_15	0.6062	0.6736	2	1	5	0.6522	2013	5	0.6522
18	shash (2013)	"<table><tr><td>Authors:</td><td>shash s.f.; mollá d.</td></tr><tr><td>Title:</td><td>clustering of medical publications for evidence based medicine summarisation</td></tr><tr><td>Source:</td><td>lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics), 7885 lnai, 305-309</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1007/978-3-642-38326-7_42	0.2092	0.9069	8	0	3	0.3913	2013	3	0.3913
19	choi (2012)	"<table><tr><td>Authors:</td><td>choi s.; ryu b.; yoo s.; choi j.</td></tr><tr><td>Title:</td><td>combining relevancy and methodological quality into a single ranking for evidence-based medicine</td></tr><tr><td>Source:</td><td>information sciences, 214, 76-90</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.ins.2012.05.027	-0.7179	0.5851	1	1	11	0.4031	2012	11	0.4031
20	kim (2012)	"<table><tr><td>Authors:</td><td>kim s.; choi j.</td></tr><tr><td>Title:</td><td>improving the performance of text categorization models used for the selection of high quality articles</td></tr><tr><td>Source:</td><td>healthcare informatics research, 18(1), 18-28</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.4258/hir.2012.18.1.18	-0.4891	0.4787	1	3	6	0.2199	2012	6	0.2199
21	felizardo (2012)	"<table><tr><td>Authors:</td><td>felizardo k.r.; andery g.f.; paulovich f.v.; minghim r.; maldonado j.c.</td></tr><tr><td>Title:</td><td>a visual analysis approach to validate the selection review of primary studies in systematic reviews</td></tr><tr><td>Source:</td><td>information and software technology, 54(10), 1079-1091</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.infsof.2012.04.003	0.7406	-0.0175	3	5	23	0.8429	2012	23	0.8429
22	cohen (2012)	"<table><tr><td>Authors:</td><td>cohen a.m.; ambert k.; mcdonagh m.</td></tr><tr><td>Title:</td><td>studying the potential impact of automated document classification on scheduling a systematic review update</td></tr><tr><td>Source:</td><td>bmc medical informatics and decision making, 12(1)</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1186/1472-6947-12-33	-0.2813	-0.6126	4	4	22	0.8063	2012	22	0.8063
23	bekhuis (2012)	"<table><tr><td>Authors:</td><td>bekhuis t.; demner-fushman d.</td></tr><tr><td>Title:</td><td>screening nonrandomized studies for medical systematic reviews: a comparative study of classifiers</td></tr><tr><td>Source:</td><td>artificial intelligence in medicine, 55(3), 197-207</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.artmed.2012.05.002	-0.8608	0.124	1	8	27	0.9895	2012	27	0.9895
24	wallace (2012a)	"<table><tr><td>Authors:</td><td>wallace b.c.; small k.; brodley c.e.; lau j.; schmid c.h.; bertram l.; lill c.m.; cohen j.t.; trikalinos t.a.</td></tr><tr><td>Title:</td><td>toward modernizing the systematic review pipeline in genetics: efficient updating via data mining</td></tr><tr><td>Source:</td><td>genetics in medicine, 14(7), 663-669</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1038/gim.2012.7	0.2453	-0.7454	2	4	25	0.9162	2012	25	0.9162
25	wallace (2012b)	"<table><tr><td>Authors:</td><td>wallace b.c.; small k.; brodley c.e.; lau j.; trikalinos t.a.</td></tr><tr><td>Title:</td><td>deploying an interactive machine learning system in an evidence-based practice center: abstrackr</td></tr><tr><td>Source:</td><td>ihi'12 - proceedings of the 2nd acm sighit international health informatics symposium, , 819-823</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1145/2110363.2110464	-0.039	-0.7616	2	1	77	2.822	2012	77	2.822
26	tomassetti (2011)	"<table><tr><td>Authors:</td><td>tomassetti f.; rizzo g.; vetro' a.; ardito l.; torchiano m.; morisio m.</td></tr><tr><td>Title:</td><td>linked data approach for selection process automation in systematic reviews</td></tr><tr><td>Source:</td><td>iet seminar digest, 2011(1), 31-35</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1049/ic.2011.0004	-0.7808	0.3715	1	1	17	0.8361	2011	17	0.8361
27	felizardo (2011)	"<table><tr><td>Authors:</td><td>felizardo k.r.; salleh n.; martins r.m.; mendes e.; macdonell s.g.; maldonado j.c.</td></tr><tr><td>Title:</td><td>using visual text mining to support the study selection activity in systematic literature reviews</td></tr><tr><td>Source:</td><td>international symposium on empirical software engineering and measurement, , 77-86</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"		0.5767	0.4521	2	2	23	1.1311	2011	23	1.1311
28	frunza (2011)	"<table><tr><td>Authors:</td><td>frunza o.; inkpen d.; matwin s.; klement w.; o'blenis p.</td></tr><tr><td>Title:</td><td>exploiting the systematic review protocol for classification of medical abstracts</td></tr><tr><td>Source:</td><td>artificial intelligence in medicine, 51(1), 17-25</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.artmed.2010.10.005	-0.8573	-0.2244	1	5	21	1.0328	2011	21	1.0328
29	wallace (2010a)	"<table><tr><td>Authors:</td><td>wallace b.c.; small k.; brodley c.e.; lau j.; trikalinos t.a.</td></tr><tr><td>Title:</td><td>modeling annotation time to reduce workload in comparative effectiveness reviews</td></tr><tr><td>Source:</td><td>ihi'10 - proceedings of the 1st acm international health informatics symposium, , 28-35</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1145/1882992.1882999	0.6341	-0.6368	9	0	9	0.2951	2010	9	0.2951
30	frunza (2010)	"<table><tr><td>Authors:</td><td>frunza o.; inkpen d.; matwin s.</td></tr><tr><td>Title:</td><td>building systematic reviews using automatic text classification techniques</td></tr><tr><td>Source:</td><td>coling 2010 - 23rd international conference on computational linguistics, proceedings of the conference, 2, 303-311</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"		-0.3357	0.6875	1	2	18	0.5902	2010	18	0.5902
31	wallace (2010b)	"<table><tr><td>Authors:</td><td>wallace b.c.; small k.; brodley c.e.; trikalinos t.a.</td></tr><tr><td>Title:</td><td>active learning for biomedical citation screening</td></tr><tr><td>Source:</td><td>proceedings of the acm sigkdd international conference on knowledge discovery and data mining, , 173-181</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1145/1835804.1835829	0.7922	0.5126	10	0	36	1.1803	2010	36	1.1803
32	matwin (2010)	"<table><tr><td>Authors:</td><td>matwin s.; kouznetsov a.; inkpen d.; frunza o.; o'blenis p.</td></tr><tr><td>Title:</td><td>a new algorithm for reducing the workload of experts in performing systematic reviews</td></tr><tr><td>Source:</td><td>journal of the american medical informatics association, 17(4), 446-453</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1136/jamia.2010.004325	-0.2862	-0.0091	1	11	44	1.4426	2010	44	1.4426
33	kouznetsov (2010)	"<table><tr><td>Authors:</td><td>kouznetsov a.; japkowicz n.</td></tr><tr><td>Title:</td><td>using classifier performance visualization to improve collective ranking techniques for biomedical abstracts classification</td></tr><tr><td>Source:</td><td>lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics), 6085 lnai, 299-303</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1007/978-3-642-13059-5_33	-0.191	-0.9126	11	0	5	0.1639	2010	5	0.1639
34	wallace (2010c)	"<table><tr><td>Authors:</td><td>wallace b.c.; trikalinos t.a.; lau j.; brodley c.; schmid c.h.</td></tr><tr><td>Title:</td><td>semi-automated screening of biomedical citations for systematic reviews</td></tr><tr><td>Source:</td><td>bmc bioinformatics, 11</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1186/1471-2105-11-55	-0.1183	-0.3149	2	13	96	3.1475	2010	96	3.1475
35	cohen (2010)	"<table><tr><td>Authors:</td><td>cohen a.m.; ambert k.; mcdonagh m.</td></tr><tr><td>Title:</td><td>a prospective evaluation of an automated classification system to support evidence-based medicine and systematic review</td></tr><tr><td>Source:</td><td>amia ... annual symposium proceedings / amia symposium. amia symposium, 2010, 121-125</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"		-0.4669	-0.7918	4	2	15	0.4918	2010	15	0.4918
36	bekhuis (2010)	"<table><tr><td>Authors:</td><td>bekhuis t.; demner-fushman d.</td></tr><tr><td>Title:</td><td>towards automating the initial screening phase of a systematic review</td></tr><tr><td>Source:</td><td>studies in health technology and informatics, 160(part 1), 146-150</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.3233/978-1-60750-588-4-146	-0.8408	-0.0617	1	4	21	0.6885	2010	21	0.6885
37	razavi (2009)	"<table><tr><td>Authors:</td><td>razavi a.h.; matwin s.; inkpen d.; kouznetsov a.</td></tr><tr><td>Title:</td><td>parameterized contrast in second order soft co-occurrences: a novel text representation technique in text mining and knowledge extraction</td></tr><tr><td>Source:</td><td>icdm workshops 2009 - ieee international conference on data mining, , 471-476</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1109/icdmw.2009.49	-0.2017	0.9028	12	0	6	0.2963	2009	6	0.2963
38	ananiadou (2009)	"<table><tr><td>Authors:</td><td>ananiadou s.; rea b.; okazaki n.; procter r.; thomas j.</td></tr><tr><td>Title:</td><td>supporting systematic reviews using text mining</td></tr><tr><td>Source:</td><td>social science computer review, 27(4), 509-523</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1177/0894439309332293	0.5294	0.0512	2	6	29	1.4321	2009	29	1.4321
39	kouznetsov (2009)	"<table><tr><td>Authors:</td><td>kouznetsov a.; matwin s.; inkpen d.; razavi a.h.; frunza o.; sehatkar m.; seaward l.; o'blenis p.</td></tr><tr><td>Title:</td><td>classifying biomedical abstracts using committees of classifiers and collective ranking techniques</td></tr><tr><td>Source:</td><td>lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics), 5549 lnai, 224-228</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1007/978-3-642-01818-3_29	0.9247	-0.1772	13	0	11	0.5432	2009	11	0.5432
40	cohen (2009)	"<table><tr><td>Authors:</td><td>cohen a.m.; ambert k.; mcdonagh m.</td></tr><tr><td>Title:</td><td>cross-topic learning for work prioritization in systematic review creation and update</td></tr><tr><td>Source:</td><td>journal of the american medical informatics association, 16(5), 690-704</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1197/jamia.m3162	-0.6382	-0.3076	1	8	35	1.7284	2009	35	1.7284
41	martinez (2008)	"<table><tr><td>Authors:</td><td>martinez d.; karimi s.; cavedon l.; baldwin t.</td></tr><tr><td>Title:</td><td>facilitating biomedical systematic reviews using ranked text retrieval and classification</td></tr><tr><td>Source:</td><td>adcs 2008 - proceedings of the thirteenth australasian document computing symposium, , 53-60</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"		-0.5241	0.6881	1	2	10	0.3947	2008	10	0.3947
42	cohen (2008)	"<table><tr><td>Authors:</td><td>cohen a.m.</td></tr><tr><td>Title:</td><td>optimizing feature representation for automated systematic review work prioritization.</td></tr><tr><td>Source:</td><td>amia ... annual symposium proceedings / amia symposium. amia symposium, , 121-125</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"		0.266	0.703	14	0	34	1.3421	2008	34	1.3421
43	yu (2008)	"<table><tr><td>Authors:</td><td>yu w.; clyne m.; dolan s.m.; yesupriya a.; wulf a.; liu t.; khoury m.j.; gwinn m.</td></tr><tr><td>Title:</td><td>gapscreener: an automatic tool for screening human genetic association literature in pubmed using the support vector machine technique</td></tr><tr><td>Source:</td><td>bmc bioinformatics, 9</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1186/1471-2105-9-205	0.1599	-0.927	2	1	32	1.2632	2008	32	1.2632
44	malheiros (2007)	"<table><tr><td>Authors:</td><td>malheiros v.; höhn e.; pinho r.; mendonça m.; maldonado j.c.</td></tr><tr><td>Title:</td><td>a visual text mining approach for systematic reviews</td></tr><tr><td>Source:</td><td>proceedings - 1st international symposium on empirical software engineering and measurement, esem 2007, , 245-254</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1109/esem.2007.13	0.4476	0.8135	15	0	32	1	2007	32	1
45	cohen (2006)	"<table><tr><td>Authors:</td><td>cohen a.m.; hersh w.r.; peterson k.; yen p.-y.</td></tr><tr><td>Title:</td><td>reducing workload in systematic review preparation using automated citation classification</td></tr><tr><td>Source:</td><td>journal of the american medical informatics association, 13(2), 206-219</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.1197/jamia.m1929	-0.3416	0.1478	1	19	96	1	2006	96	1
46	aphinyanaphongs (2005)	"<table><tr><td>Authors:</td><td>aphinyanaphongs y.; tsamardinos i.; statnikov a.; hardin d.; aliferis c.f.</td></tr><tr><td>Title:</td><td>text categorization models for high-quality article retrieval in internal medicine</td></tr><tr><td>Source:</td><td>journal of the american medical informatics association, 12(2), 207-216</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	https://doi.org/10.1197/jamia.m1641	-0.5797	0.2179	1	14	88	1	2005	88	1
